"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
746001;2026-01-08;"quinta-feira";"16:00:00";"PR";116;52;"CAMPINA GRANDE DO SUL";"Velocidade Incompatível";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";4;0;1;0;2;1;1;3;-25,24097046;-48,90402214;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
746003;2026-01-16;"sexta-feira";"14:45:00";"ES";101;145;"LINHARES";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;1;0;1;0;1;2;-19,365552;-40,064825;"SPRF-ES";"DEL04-ES";"UOP01-DEL04-ES"
746008;2026-01-16;"sexta-feira";"15:45:00";"SP";116;216;"GUARULHOS";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Múltipla";"Reta";"Sim";2;0;0;0;2;0;0;2;-23,453491;-46,469585;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
746010;2026-01-16;"sexta-feira";"14:03:00";"MT";364;347;"SANTO ANTONIO DO LEVERGER";"Demais falhas mecânicas ou elétricas";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva";"Não";3;0;0;0;2;1;0;2;-15,79608;-55,55469;"SPRF-MT";"DEL05-MT";"UOP02-DEL05-MT"
746017;2026-01-16;"sexta-feira";"05:00:00";"BA";324;550;"AMELIA RODRIGUES";"Demais falhas na via";"Saída de leito carroçável";"Sem Vítimas";"Amanhecer";"Crescente";"Céu Claro";"Dupla";"Aclive";"Não";1;0;0;0;1;0;0;1;-12,448047;-38,7134732;"SPRF-BA";"DEL01-BA";"UOP03-DEL01-BA"
746018;2026-01-16;"sexta-feira";"16:50:00";"PE";101;76,2;"RECIFE";"Acessar a via sem observar a presença dos outros veículos";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";3;0;0;1;1;1;1;3;-8,11988;-34,9428;"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
746021;2026-01-16;"sexta-feira";"13:45:00";"RN";304;172;"ANGICOS";"Pista esburacada";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";5;0;3;0;1;2;3;4;-5,687133;-36,409132;"SPRF-RN";"DEL01-RN";"UOP03-DEL01-RN"
746031;2026-01-16;"sexta-feira";"18:19:00";"PE";428;185,2;"PETROLINA";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral mesmo sentido";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Múltipla";"Retorno Regulamentado;Reta";"Sim";3;0;0;0;2;1;0;3;-9,3479521;-40,4746208;"SPRF-PE";"DEL06-PE";"UOP01-DEL06-PE"
746035;2026-01-16;"sexta-feira";"18:25:00";"PE";423;61;"LAJEDO";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";3;0;0;1;1;1;1;3;-8,658623;-36,331487;"SPRF-PE";"DEL03-PE";"UOP01-DEL03-PE"
746038;2026-01-16;"sexta-feira";"18:50:00";"BA";407;145;"SENHOR DO BONFIM";"Transitar na contramão";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";5;0;2;2;1;0;4;2;-10,61846;-40,13205;"SPRF-BA";"DEL04-BA";"UOP01-DEL04-BA"
